id,tree,target,Cre,source_area,L2/3,L4,L5,L6a,L6b
96,3,CP_4,Tac1,SSs,0.206086218,0.31801231,0.369327891,0.099397837,0.007175745
88,3,CP_4,Tac1,AUDv,0.156111067,0.325262739,0.506196276,0.010961968,0.001467951
68,3,CP_4,Penk,AUDv,0.213633051,0.262978412,0.504369018,0.018072578,9.47E-04
152,3,CP_6,Sst,AUDv,0.191829713,0.279035286,0.519980026,0.0080865,0.001068474
160,4,CP_7,Penk,SSp-ll,0.087752422,0.016177496,0.545590882,0.350412305,6.69E-05
35,4,CP_2,Pvalb,SSp-ul,0.014293483,0.004070175,0.77860048,0.203035862,0
9,4,CP_1,Gad2,SSp-ll,0.016943519,0.021772873,0.768805016,0.192096579,3.82E-04
25,4,CP_2,Gad2,SSp-m,0.119806931,0.120032562,0.533290757,0.213727587,0.013142163
177,4,OT_9,Penk,SSp-ll,0.022053125,0.056119781,0.681390721,0.240436373,0
24,4,CP_2,Gad2,SSp-ll,0.004824366,0.005450504,0.762067722,0.227591329,6.61E-05
187,4,SNr,Pvalb,SSp-m,0,0.002391854,0.751978713,0.220215988,0.025413446
189,4,SNr,Pvalb,VISC,0.00589678,0.031322842,0.629838948,0.284614605,0.048326825
194,4,SNr,Slc32a1,VISC,0.007278839,0.00840415,0.617305179,0.277498823,0.089513008
161,4,CP_7,Penk,SSp-tr,0.049898946,0.010710713,0.666838696,0.272524398,2.72E-05
27,4,CP_2,Gad2,SSp-tr,0,4.30E-04,0.740767332,0.258802447,0
195,4,SNr,Slc32a1,VISa,0,0,0.731197644,0.268802356,0
105,4,CP_5,Gad2,SSp-m,0.035767827,0.185987483,0.515300116,0.240187611,0.022756963
73,4,CP_4,Penk,SSp-n,0.029462401,0.217811106,0.553056617,0.178193798,0.021476078
108,4,CP_5,Gad2,SSp-ul,0.013109647,0.242419186,0.574679715,0.151545372,0.01824608
104,4,CP_5,Gad2,SSp-ll,0.009508857,0.175391175,0.629760528,0.160007156,0.025332284
107,4,CP_5,Gad2,SSp-tr,0.011134335,0.132702067,0.724623436,0.112949197,0.018590966
